Generation,Baseline-Avg,Baseline-Best,Updates,Samples,DynamicSocial-Avg,DynamicSocial-Best
393,13520.145,21817.1,0,10,12089.318,20414.7
394,13122.451,20616,0,10,12364.222,21815.3
395,13001.857,20418.9,0,10,13099.716,20013.2
396,12813.056,21318.6,0,10,12950.074,20213.3
397,12447.662,20416.8,0,10,12501.269,19412.4
398,12702.426,20919.9,0,10,12094.792,20113.5
399,12349.651,19520.6,0,10,12886.783,20213.8
400,12820.023,20618.3,0,10,13283.218,20714.1
401,12944.547,21917.6,0,10,13324.017,20315.5
402,12602.665,20918.4,0,10,13406.638,20512.7
403,13096.234,20718.1,0,10,12479.605,19811.7
404,13694.633,21418.3,0,10,12752.026,20211.9
405,13087.796,20619,0,10,12141.593,19811.9
406,12595.905,20717.4,0,10,13077.295,20513.4
407,12790.947,20317.4,0,10,11732.381,19014.9
408,13712.73,21319.5,0,10,13004.654,20714.3
409,13172.031,20718,0,10,13387.062,21214.6
410,13126.292,20920.7,0,10,12900.172,20614.3
411,13616.175,20817.1,0,10,12821.778,21315.4
412,13540.888,21715.5,0,10,12968.623,19814.7
413,13219.726,20117.6,0,10,13844.611,21015.4
414,12929.287,21420.6,0,10,12946.357,20215.6
415,12947.915,21518.3,0,10,13450.566,20414.4
416,12482.918,20218.3,0,10,13048.156,20912.4
417,12635.161,20219.1,0,10,13014.218,20714.9
418,12818.963,20716.9,0,10,12731.934,19614.7
419,13040.896,20716.2,0,10,12434.413,20615.4
420,12765.213,21117.1,0,10,12429.095,20017
421,13017.108,21117.5,0,10,11475.151,20713.2
422,12830.711,20917.9,0,10,13661.456,21014.4
423,12677.279,20816.3,0,10,13560.331,22014.7
424,12711.891,20916.1,0,10,12360.197,20312.9
425,13187.207,20819,0,10,12513.493,20511.8
426,12578.207,20017.3,0,10,12262.79,21413.8
427,12806.406,21216.6,0,10,12155.045,20713.5
428,12768.18,21119.1,0,10,12862.696,23014.5
429,12861.628,21915.8,0,10,11514.309,20613.9
430,12395.622,20318,0,10,12274.617,21515.1
431,12785.688,20718.4,0,10,11969.018,21014.3
432,12517.247,20617.6,0,10,12214.453,21014.7
433,12110.247,20718.7,0,10,12998.429,21515.1
